stop_id,route_types
3184779,3
3184780,3
3184782,3
3184783,3
3184784,3
3184785,3
3184786,3
3184789,3
3184790,3
3184791,3
3184792,3
3184793,3
3184794,3
3184796,3
3184797,3
3184798,3
3184799,3
3184800,3
3184801,3
3184802,3
3184803,3
3184804,3
3184805,3
3184806,3
3184807,3
3184808,3
3184809,3
3184810,3
3184811,3
3184812,3
3184813,3
3184814,3
3184815,3
3184816,3
3184817,3
3184818,3
3184819,3
3184820,3
3184821,3
3184822,3
3184823,3
3184824,3
3184825,3
3184826,3
3184827,3
3184828,3
3184829,3
3184830,3
3184831,3
3184832,3
3184833,3
3184834,3
3184835,3
3184836,3
3184837,3
3184838,3
3184839,3
3184840,3
3184841,3
3184842,3
3184843,3
3184844,3
3184845,3
3184846,3
3184847,3
3184848,3
3184849,3
3184850,3
3184851,3
3184852,3
3184853,3
3184854,3
3184855,3
3184856,3
3184857,3
3184858,3
3184859,3
3184860,3
3184861,3
3184862,3
3184863,3
3184864,3
3184865,3
3184866,3
3184867,3
3184868,3
3184869,3
3184870,3
3184871,3
3184872,3
3184873,3
3184874,3
3184875,3
3184876,3
3184877,3
3184878,3
3184879,3
3184880,3
3184881,3
3184882,3
3184883,3
3184884,3
3184885,3
3184886,3
3184887,3
3184888,3
3184889,3
3184890,3
3184892,3
3184893,3
3184894,3
3184895,3
3184896,3
3184897,3
3184898,3
3184899,3
3184900,3
3184901,3
3184902,3
3184903,3
3184904,3
3184905,3
3184907,3
3184908,3
3184909,3
3184910,3
3184911,3
3184912,3
3184913,3
3184914,3
3184915,3
3184916,3
3184917,3
3184928,3
3184929,3
3184930,3
3184931,3
3184932,3
3184933,3
3184934,3
3184935,3
3184936,3
3184937,3
3184938,3
3184939,3
3184940,3
3184941,3
3184942,3
3184943,3
3184944,3
3184945,3
3184946,3
3184947,3
3184948,3
3184949,3
3184950,3
3184951,3
3184952,3
3184953,3
3184955,3
3184957,3
3184958,3
3184959,3
3184960,3
3184961,3
3184962,3
3184963,3
3184964,3
3184966,3
3184967,3
3184968,3
3184969,3
3184970,3
3184971,3
3184972,3
3184973,3
3184974,3
3184975,3
3184976,3
3184977,3
3184978,3
3184981,3
3184982,3
3184984,3
3184986,3
3184988,3
3184989,3
3184990,3
3184991,3
3184992,3
3184993,3
3184994,3
3184995,3
3184996,3
3184997,3
3184998,3
3184999,3
3185000,3
3185001,3
3185002,3
3185004,3
3185005,3
3185006,3
3185007,3
3185009,3
3185011,3
3185012,3
3185013,3
3185014,3
3185016,3
3185017,3
3185018,3
3185019,3
3185020,3
3185021,3
3185022,3
3185023,3
3185024,3
3185026,3
3185027,3
3185028,3
3185029,3
3185030,3
3185031,3
3185032,3
3185035,3
3185036,3
3185037,3
3185038,3
3185039,3
3185040,3
3185041,3
3185042,3
3185043,3
3185044,3
3185045,3
3185046,3
3185047,3
3185048,3
3185049,3
3185050,3
3185051,3
3185052,3
3185053,3
3185054,3
3185055,3
3185056,3
3185057,3
3185058,3
3185059,3
3185064,3
3185065,3
3185066,3
3185067,3
3185068,3
3185069,3
3185070,3
3185071,3
3185072,3
3185073,3
3185074,3
3185075,3
3185076,3
3185077,3
3185078,3
3185079,3
3185080,3
3185081,3
3185082,3
3185083,3
3185084,3
3185088,3
3185089,3
3185090,3
3185091,3
3185092,3
3185093,3
3185094,3
3185095,3
3185096,3
3185097,3
3185098,3
3185099,3
3185101,3
3185105,3
3185106,3
3185107,3
3185108,3
3185109,3
3185110,3
3185111,3
3185112,3
3185113,3
3185114,3
3185116,3
3185117,3
3185118,3
3185119,3
3185120,3
3185121,3
3185122,3
3185123,3
3185124,3
3185125,3
3185126,3
