stop_id,stop_name,stop_lat,stop_lon
3212351,"Beveren-Waas, Parein",51.217663,4.271296
3212359,"Beveren-Waas, Kruisstraat",51.194622,4.217246
3212368,"Haasdonk, Bergstraat",51.179187,4.231627
3212372,"Sint-Niklaas, Callaertstraat",51.174698,4.174823
3212386,"Sint-Niklaas, Wegvoeringsstraat",51.173763,4.128328
3212390,"Sint-Pauwels, Patershoek",51.180633,4.110404
3212402,"Sint-Pauwels, Groenstraat",51.187096,4.088395
3212404,"Sint-Pauwels, Kapel",51.185473,4.074366
3212405,"Sint-Pauwels, Puyveldestraat",51.185995,4.066526
3212414,"Stekene, Boterbloemstraat",51.209937,4.029985
3212420,"Koewacht, Grens",51.224959,3.977899
3212424,"Stekene, Polken",51.188219,4.013275
3212429,"Moerbeke-Waas, Acacialaan",51.176308,3.956739
3212433,"Waasmunster, Koningin Astridstraat",51.11982,4.108122
3212445,"Sint-Jansteen, Geslechtendijk",51.264019,4.053301
3212448,"Stekene, Donkerhofstede",51.220705,4.027562
3212451,"Sint-Niklaas, Heimolenstraat",51.137544,4.132578
3212453,"Waasmunster, Veldstraat",51.126626,4.124633
3212455,"Waasmunster, Spoorwegstraat",51.115177,4.101281
3212456,"Waasmunster, Stationsstraat",51.112824,4.094149
3212467,"Vrasene, Oprit N49",51.237387,4.190063
3212468,"Beveren-Waas, Van Beverenlaan",51.212692,4.25178
3212472,"Beveren-Waas, Gaverlanddam",51.224259,4.256175
3212475,"Kallo, Kruisdijklaan",51.248162,4.275709
3212478,"Kallo, Dijkgravenstraat",51.257987,4.274697
3212482,"Vrasene, Mosselbank",51.220436,4.208801
3212483,"Vrasene, Sleutelhoflaan",51.219528,4.200908
3212489,"Vrasene, Voshoek",51.225552,4.157716
3212502,"Burcht, Zwijndrechtsestraat",51.206403,4.338299
3212551,"Sint-Niklaas, Station perron 6",51.171725,4.145301
3212559,"Sint-Gillis-Waas, Hoogeinde",51.207811,4.142879
3212560,"Sint-Gillis-Waas, Doornstraat",51.211532,4.136938
3212562,"Sint-Gillis-Waas, Stationsstraat",51.22023,4.124118
3212564,"Sint-Gillis-Waas, Reepstraat",51.227183,4.106416
3212566,"Sint-Gillis-Waas, Sint-Pietersnieuwstraat",51.244038,4.093327
3212567,"Sint-Gillis-Waas, Hogenakkerstraat",51.248437,4.087201
3212569,"De, Klinge Polenlaan",51.252964,4.085182
3212574,"De, Klinge Spaanskwartier",51.261696,4.112257
3212577,"Meerdonk, Lange Nieuwstraat",51.263185,4.142678
3212587,"Wachtebeke, Knokkestraat",51.171327,3.892399
3212588,"Daknam, Kerk",51.125139,3.980474
3212591,"Wachtebeke, Petunialaan",51.173459,3.849826
3212596,"Daknam, Kerk",51.125213,3.980586
3212598,"Wachtebeke, Kortelaan",51.171556,3.857527
3212611,"Lokeren, Carpoolparking",51.088092,4.02039
3212614,"Sint-Gillis-Waas, Holstraat",51.226339,4.088658
3212617,"Sint-Gillis-Waas, Kluizenhof",51.22733,4.098552
3212620,"Lokeren, Sportlaan",51.108295,3.993328
3212623,"Sint-Niklaas, Schoolstraat",51.157924,4.151907
3212627,"Waasmunster, Gentstraat",51.108232,4.078298
3212629,"Sint-Niklaas, Cardijnlaan",51.152457,4.141634
3212630,"Sint-Niklaas, Driegaaienstraat",51.150828,4.133988
3212631,"Sint-Niklaas, Weverstraat",51.147607,4.119655
3212636,"Sint-Niklaas, Hoge Heerweg",51.146968,4.178613
3212638,"Sint-Niklaas, Schoolstraat",51.158417,4.151708
3212639,"Sint-Niklaas, Heidebaan",51.178042,4.191354
3212642,"Sint-Niklaas, Camiel Huysmanslaan",51.181486,4.142577
3212655,"Lokeren, Carpoolparking",51.088148,4.019803
3212658,"Sint-Gillis-Waas, Holstraat",51.226551,4.088337
3212660,"Sint-Gillis-Waas, Kluizenhof",51.227519,4.100222
3212664,"Meerdonk, Dorp",51.260617,4.147992
3212665,"Lokeren, Sportlaan",51.108448,3.993409
3212666,"Sint-Niklaas, Grote Markt",51.162432,4.143007
3212667,"Beveren, Ziekenhuis",51.210279,4.250466
3212671,"Waasmunster, Gentstraat",51.108296,4.078439
3212673,"Sint-Niklaas, Driegaaienstraat",51.150563,4.131865
3212674,"Sint-Niklaas, Weverstraat",51.147544,4.11877
3212675,"Belsele, Bookmolenstraat",51.146183,4.111862
3212678,"Beveren-Waas, Station",51.208423,4.259299
3212682,"Sint-Niklaas, Heidebloem",51.175294,4.141958
3212683,"Sint-Niklaas, Kuildamstraat",51.175689,4.13524
3212818,"As, Kerk",51.006752,5.582802
3212823,"As, Klooster",51.001135,5.576738
3212825,"As, Molendel",51.01916,5.580788
3212836,"As, Oeleinde",50.999213,5.56408
3212843,"As, Weg naar Lanklaar",51.004845,5.603623
3212868,"Balen, Kievitstraat",51.153555,5.261522
3212930,"Koersel, Asberg",51.059444,5.281263
3212932,"Koersel, Beringen Mijnen",51.070915,5.220658
3212939,"Koersel, Posthoorn",51.061713,5.222075
3212942,"Koersel, Schrikheide",51.054413,5.273915
3212943,"Koersel, Smeetshoevenstraat",51.048978,5.277123
3212951,"Koersel, Steenveld",51.051044,5.24312
3212955,"Koersel, Windmolenstraat",51.057093,5.275706
3212990,"Bilzen, Autosnelweg",50.861546,5.502908
3212995,"Beverst, Nijverheidsstraat",50.893548,5.469447
3213007,"Beverst, Weg op Schoonbeek",50.897106,5.458168
3213012,"Eigenbilzen, Kerk",50.875304,5.574972
3213015,"Eigenbilzen, Litsebeekstraat",50.887236,5.566452
3213020,"Eigenbilzen, Molendriesstraat",50.881089,5.571784
3213033,"Hees, Heesstraat",50.847439,5.614799
3213040,"Hees, Steenweg",50.847339,5.623914
